Two axis displacement sensor detected
Tareing....
time(us),power(pwm/255),position(deg),force(grams)
28222268,25,16.86,-1.20,7.82
28283312,25,16.86,-1.20,7.92
28344360,25,16.86,-1.20,7.84
28405400,25,16.86,-1.20,7.97
28466448,25,16.86,-1.20,7.99
28527484,25,16.86,-1.20,7.95
28588536,25,16.86,-1.20,7.99
28649580,25,16.86,-1.20,8.11
28710608,25,16.86,-1.20,8.15
28771656,25,16.86,-1.20,8.15
28832688,25,16.86,-1.20,8.24
28893740,25,16.86,-1.20,8.32
28954784,25,16.86,-1.20,8.21
29015816,25,16.86,-1.20,8.23
29076844,25,16.86,-1.20,8.30
29137864,25,16.86,-1.20,8.38
29198904,25,16.86,-1.20,8.26
29259928,25,16.86,-1.20,8.37
29320952,25,16.86,-1.20,8.33
29381984,25,16.86,-1.20,8.44
29443040,25,17.39,-1.20,8.37
29504088,25,17.39,-1.20,8.51
29565144,25,17.39,-1.20,8.56
29626184,25,17.39,-1.20,8.54
29687232,25,17.39,-1.20,8.80
29748280,25,17.39,-1.20,8.66
29809308,25,17.39,-1.20,8.66
29870352,25,17.39,-1.20,8.77
29931392,25,17.39,-1.20,8.68
29992456,25,17.39,-1.20,8.77
30053492,25,17.39,-1.20,8.64
30114532,25,17.39,-1.20,8.77
30175576,25,17.39,-1.20,8.74
30236604,25,17.39,-1.20,8.77
30297664,25,17.39,-1.20,8.84
30358712,25,17.39,-1.20,8.99
30419768,25,17.39,-1.20,9.10
30480816,25,17.39,-1.20,8.98
30541884,25,17.39,-1.20,9.13
30602924,25,17.39,-1.72,9.08
30663984,25,17.39,-1.72,9.00
30725036,25,17.92,-1.72,8.94
30786084,25,17.92,-1.72,8.99
30847140,25,17.92,-1.72,9.14
30908184,25,17.92,-1.72,9.17
30969244,25,17.92,-1.72,9.10
31030292,25,17.92,-1.72,9.28
31091336,25,17.92,-1.72,9.24
31152396,25,17.92,-1.72,9.46
31213448,25,17.92,-1.72,9.35
31274504,25,17.92,-1.72,9.37
31335560,25,17.92,-1.72,9.43
31396612,25,17.92,-1.72,9.34
31457668,25,17.92,-1.72,9.47
31518716,25,17.92,-1.72,9.58
31579768,25,17.92,-1.72,9.55
31640828,25,17.92,-1.72,9.55
31701876,25,17.92,-1.72,9.62
31762940,25,17.92,-1.72,9.66
31824000,25,17.92,-1.72,9.53
31885048,25,18.43,-1.72,9.65
31946112,25,18.43,-1.72,9.73
32007164,25,18.43,-1.72,9.72
32068224,25,18.43,-1.72,9.79
32129280,25,18.43,-1.72,9.92
32190336,25,18.43,-1.72,9.83
32251400,25,18.43,-1.72,9.74
32312456,25,18.43,-1.72,9.93
32373508,25,18.43,-1.72,10.05
32434572,25,18.43,-1.72,9.89
32495636,25,18.43,-1.72,9.86
32556680,25,18.43,-1.72,9.96
32617752,25,18.43,-1.72,10.03
32678804,25,18.43,-1.72,10.06
32739868,25,18.43,-1.72,10.06
32800924,25,18.43,-1.72,10.05
32861968,25,18.43,-1.72,10.21
32923032,25,18.43,-1.72,10.16
32984088,25,18.43,-1.72,10.13
33045140,25,18.43,-1.72,10.14
33106208,25,18.43,-1.72,10.20
33167256,25,18.43,-1.72,10.35
33228324,25,18.43,-1.72,10.24
33289380,25,18.43,-1.72,10.24
33350432,25,18.43,-1.72,10.48
33411500,25,18.43,-1.72,10.28
33472556,25,18.43,-1.72,10.43
33533612,25,18.43,-1.72,10.37
33594680,25,18.43,-1.72,10.29
33655724,25,18.43,-1.72,10.45
33716784,25,18.43,-1.72,10.56
33777840,25,18.43,-1.72,10.54
33838884,25,18.43,-1.72,10.64
33899948,25,18.43,-1.72,10.57
33961008,25,18.43,-1.72,10.68
34022060,25,18.96,-1.72,10.55
34083124,25,18.96,-1.72,10.76
34144164,25,18.96,-1.72,10.83
34205212,25,18.96,-1.72,10.68
34266256,25,18.96,-1.72,10.73
34327288,25,18.96,-1.72,10.66
34388340,25,18.96,-1.72,10.71
34449372,25,18.96,-1.72,10.96
34510428,25,18.96,-1.72,10.80
34571472,25,18.96,-1.72,11.00
34632516,25,18.96,-1.72,10.96
34693564,25,18.96,-1.72,10.82
34754604,25,18.96,-1.72,10.97
34815652,25,18.96,-1.72,10.92
34876708,25,18.96,-1.72,10.97
34937748,25,18.96,-1.72,11.06
34998804,25,18.96,-1.72,10.99
35059856,25,18.96,-1.72,11.06
35120888,25,18.96,-1.72,11.10
35181936,25,18.96,-1.72,11.05
35242980,25,18.96,-1.72,11.21
35304032,25,18.96,-1.72,11.26
35365076,25,18.96,-1.72,11.15
35426120,25,18.96,-1.72,11.12
35487172,25,18.96,-1.72,11.11
35548216,25,19.56,-1.72,11.17
35609256,25,19.56,-1.72,11.21
35670308,25,19.56,-1.72,11.09
35731348,25,19.56,-1.72,11.12
35792396,25,19.56,-1.72,11.11
35853432,25,19.56,-1.72,11.12
35914464,25,19.56,-1.72,10.96
35975528,25,19.56,-1.72,10.92
36036556,25,19.56,-1.72,11.10
36097592,25,19.56,-1.72,11.07
36158616,25,19.56,-1.72,11.07
36219640,25,19.56,-1.72,10.96
36280688,25,19.56,-1.72,10.97
36341716,25,19.56,-1.72,11.18
36402764,25,19.56,-1.72,11.22
36463804,25,19.56,-1.72,11.10
36524840,25,19.56,-1.72,11.22
36585892,25,19.56,-1.72,11.20
36646940,25,19.56,-1.72,11.15
36707976,25,19.56,-1.72,11.14
36769020,25,19.56,-1.72,11.05
36830060,25,19.56,-1.72,11.20
36891112,25,19.56,-1.72,11.28
36952148,25,19.56,-1.72,11.20
37013184,25,19.56,-1.72,11.31
37074236,25,19.56,-1.72,11.41
37135272,25,19.56,-1.72,11.28
37196328,25,19.56,-1.72,11.45
37257372,25,19.56,-1.72,11.42
37318408,25,19.56,-1.72,11.46
37379464,25,19.56,-1.72,11.36
37440520,25,19.56,-1.72,11.26
37501568,25,19.56,-1.72,11.50
37562644,25,19.56,-1.72,11.47
37623704,25,19.56,-1.72,11.56
37684772,25,19.56,-1.72,11.50
37745828,25,19.56,-1.07,11.66
37806880,25,19.56,-1.07,11.65
37867940,25,19.56,-1.07,11.70
37929004,25,19.56,-1.60,11.59
37990056,25,19.56,-1.60,11.75
38051112,25,19.56,-1.60,11.71
38112156,25,19.56,-1.60,11.58
38173220,25,19.56,-1.60,11.77
38234272,25,19.56,-1.60,11.69
38295320,25,19.56,-1.60,11.89
38356384,25,19.56,-1.60,11.81
38417436,25,19.56,-1.60,11.76
38478488,25,19.56,-1.60,11.79
38539552,25,19.56,-1.60,11.85
38600592,25,19.56,-1.60,11.82
38661656,25,19.56,-1.60,12.05
38722708,25,19.56,-1.60,11.92
38783760,25,19.56,-1.60,11.93
38844824,25,19.56,-1.60,11.90
38905876,25,19.56,-1.60,11.94
38966932,25,19.56,-1.60,11.91
39027980,25,19.56,-1.60,12.14
39089032,25,19.56,-1.60,12.01
39150088,25,19.56,-1.60,12.16
39211148,25,19.56,-1.60,12.08
39272200,25,19.56,-1.60,12.20
39333260,25,19.56,-1.60,12.36
39394316,25,19.56,-1.60,12.38
39455368,25,20.10,-1.60,12.27
39516412,25,20.10,-1.60,12.32
39577472,25,20.10,-1.60,12.46
39638528,25,20.10,-1.60,12.48
39699564,25,20.10,-1.60,12.39
39760604,25,20.10,-1.60,12.50
39821644,25,20.10,-1.60,12.39
39882680,25,20.10,-1.60,12.44
39943728,25,20.10,-1.60,12.49
40004772,25,20.10,-1.60,12.55
40065808,25,20.10,-1.60,12.43
40126852,25,20.10,-1.60,12.78
40187896,25,20.10,-1.60,12.72
40248928,25,20.10,-1.60,12.69
40309988,25,20.10,-1.60,12.84
40371032,25,20.10,-1.60,12.79
40432100,25,20.10,-1.60,12.83
40493148,25,20.10,-1.60,12.89
40554204,25,20.10,-1.60,12.85
40615268,25,20.10,-1.60,12.99
40676320,25,20.10,-1.60,13.07
40737380,25,20.10,-1.60,12.97
40798440,25,20.10,-1.60,13.00
40859488,25,20.10,-1.60,12.92
40920556,25,20.10,-1.60,12.99
40981608,25,20.62,-1.60,13.07
41042660,25,20.62,-1.60,12.97
41103728,25,20.62,-1.60,13.09
41164780,25,20.62,-1.60,13.16
41225840,25,20.62,-1.60,13.16
41286900,25,20.62,-1.60,13.16
41347956,25,20.62,-1.60,13.29
41409024,25,20.62,-1.60,13.24
41470076,25,20.62,-1.60,13.21
41531128,25,20.62,-1.60,13.35
41592192,25,20.62,-1.60,13.34
41653244,25,20.62,-1.07,13.29
41714288,25,20.62,-1.07,13.21
41775348,25,20.62,-1.07,13.22
41836400,25,20.62,-1.59,13.54
41897468,25,20.62,-1.59,13.52
41958508,25,20.62,-1.59,13.43
42019528,25,20.62,-1.59,13.58
42080584,25,20.62,-1.59,13.54
42141616,25,20.62,-1.59,13.41
42202660,25,20.62,-1.59,13.54
42263708,25,20.62,-1.59,13.64
42324756,25,20.62,-1.59,13.60
42385824,25,21.18,-1.59,13.68
42446876,25,21.18,-1.59,13.75
42507924,25,21.18,-1.59,13.74
42568992,25,21.18,-1.59,13.67
42630048,25,21.18,-1.59,13.81
42691116,25,21.18,-1.59,13.85
42752172,25,21.18,-1.59,14.08
42813220,25,21.18,-1.59,13.96
42874292,25,21.18,-1.59,13.92
42935336,25,21.18,-1.59,13.88
42996392,25,21.18,-1.59,14.05
43057444,25,21.18,-1.59,14.06
43118492,25,21.18,-1.59,13.97
43179560,25,21.18,-1.59,13.96
43240612,25,21.18,-1.59,14.06
43301664,25,21.18,-1.59,13.97
43362728,25,21.18,-1.59,14.16
43423780,25,21.18,-1.59,14.18
43484832,25,21.18,-1.59,14.25
43545892,25,21.18,-1.59,14.04
43606936,25,21.18,-1.09,14.23
43667996,25,21.18,-1.09,14.24
43729060,25,21.18,-1.09,14.27
43790108,25,21.18,-1.09,14.17
