Two axis displacement sensor detected
Tareing....
time(us),power(pwm/255),position(deg),force(grams)
33725848,25,9.40,-3.54,9.26
33786924,25,9.40,-3.54,9.31
33847992,25,9.40,-3.54,9.48
33909076,25,9.40,-3.54,9.36
33970148,25,9.40,-3.54,9.40
34031232,25,9.40,-3.54,9.50
34092316,25,9.40,-3.54,9.41
34153392,25,9.40,-3.54,9.46
34214480,25,9.40,-3.54,9.51
34275548,25,9.40,-3.54,9.52
34336616,25,9.40,-3.54,9.48
34397704,25,9.40,-3.54,9.58
34458788,25,9.40,-3.54,9.51
34519852,25,9.40,-3.54,9.66
34580936,25,9.40,-3.54,9.47
34642012,25,9.40,-3.54,9.45
34703084,25,9.40,-3.54,9.59
34764168,25,9.40,-3.54,9.56
34825240,25,9.40,-3.54,9.60
34886304,25,9.40,-3.54,9.64
34947384,25,9.40,-3.54,9.57
35008456,25,9.40,-3.54,9.55
35069532,25,9.40,-3.54,9.64
35130620,25,9.40,-3.54,9.76
35191684,25,9.40,-3.54,9.56
35252760,25,9.40,-3.54,9.67
35313824,25,9.40,-3.54,9.68
35374896,25,9.40,-3.54,9.49
35435972,25,9.40,-3.54,9.73
35497044,25,9.40,-3.54,9.79
35558116,25,9.40,-3.54,9.75
35619188,25,9.40,-3.54,9.53
35680264,25,9.40,-3.54,9.60
35741320,25,9.40,-3.54,9.67
35802388,25,9.40,-3.54,9.80
35863448,25,9.40,-3.54,9.63
35924516,25,9.40,-3.54,9.55
35985584,25,9.40,-3.54,9.86
36046652,25,9.40,-3.54,9.84
36107720,25,9.40,-3.54,9.73
36168796,25,9.40,-3.54,9.91
36229856,25,9.40,-3.54,9.77
36290928,25,9.40,-3.54,9.83
36351984,25,9.40,-3.54,9.71
36413036,25,9.40,-3.54,10.02
36474092,25,9.91,-3.54,9.91
36535148,25,9.91,-3.54,9.94
36596228,25,9.91,-3.54,10.05
36657300,25,9.91,-3.54,10.01
36718360,25,9.91,-3.54,9.88
36779436,25,9.91,-3.54,10.18
36840508,25,9.91,-3.54,9.98
36901572,25,9.91,-3.54,10.07
36962648,25,9.91,-3.54,10.07
37023716,25,9.91,-3.54,10.14
37084780,25,9.91,-3.54,10.09
37145856,25,9.91,-3.54,10.17
37206920,25,9.91,-3.54,10.19
37268000,25,9.91,-3.54,10.19
37329064,25,9.91,-3.54,10.27
37390128,25,9.91,-3.54,10.18
37451204,25,9.91,-3.54,10.34
37512276,25,9.91,-3.54,10.45
37573332,25,9.91,-3.54,10.29
37634420,25,9.91,-3.54,10.19
37695480,25,9.91,-3.54,10.31
37756548,25,9.91,-3.54,10.19
37817632,25,9.91,-3.54,10.34
37878692,25,9.91,-3.54,10.42
37939748,25,9.91,-3.54,10.32
38000812,25,9.91,-3.54,10.41
38061876,25,9.91,-3.54,10.62
38122952,25,9.91,-3.54,10.57
38184020,25,9.91,-3.54,10.43
38245088,25,9.91,-3.54,10.47
38306168,25,9.91,-3.54,10.38
38367212,25,9.91,-3.54,10.54
38428272,25,9.91,-3.54,10.60
38489336,25,9.91,-3.54,10.63
38550384,25,9.91,-3.54,10.61
38611444,25,9.91,-3.54,10.70
38672504,25,9.91,-3.54,10.56
38733552,25,9.91,-3.54,10.59
38794616,25,9.91,-3.54,10.69
38855668,25,9.91,-3.54,10.79
38916724,25,9.91,-3.54,10.82
38977796,25,9.91,-3.54,10.94
39038856,25,9.91,-3.54,10.73
39099924,25,9.91,-3.54,10.78
39160996,25,9.91,-3.54,10.75
39222052,25,9.91,-3.54,10.98
39283132,25,9.91,-3.54,10.69
39344204,25,9.91,-3.54,10.89
39405268,25,9.91,-3.54,10.87
39466344,25,10.41,-3.54,10.83
39527412,25,10.41,-3.54,11.00
39588484,25,10.41,-3.54,11.12
39649560,25,10.41,-3.54,11.03
39710628,25,10.41,-3.54,11.12
39771700,25,10.41,-3.54,11.01
39832768,25,10.41,-3.54,11.09
39893840,25,10.41,-3.54,11.19
39954916,25,10.41,-3.54,11.04
40015996,25,10.41,-3.54,11.19
40077060,25,10.41,-3.54,11.18
40138140,25,10.41,-3.54,11.26
40199208,25,10.41,-3.54,11.22
40260268,25,10.41,-3.54,11.35
40321348,25,10.41,-3.54,11.26
40382412,25,10.41,-3.54,11.29
40443484,25,10.41,-3.54,11.41
40504556,25,10.41,-3.54,11.37
40565624,25,10.41,-3.54,11.56
40626704,25,10.41,-3.54,11.47
40687776,25,10.41,-3.54,11.56
40748836,25,10.41,-3.54,11.61
40809912,25,10.41,-3.54,11.62
