Two axis displacement sensor detected
Tareing....
time(us),power(pwm/255),position(deg),force(grams)
22539356,25,5.51,-2.19,12.35
22600408,25,5.51,-2.19,12.26
22661456,25,5.51,-2.19,12.28
22722500,25,5.51,-2.19,12.30
22783560,25,5.51,-2.19,12.46
22844604,25,5.51,-2.19,12.43
22905640,25,5.51,-2.19,12.38
22966696,25,5.51,-2.19,12.54
23027740,25,5.51,-2.19,12.65
23088788,25,5.51,-2.19,12.58
23149844,25,5.51,-2.19,12.53
23210880,25,5.51,-2.19,12.46
23271936,25,5.51,-2.19,12.56
23332980,25,5.51,-2.19,12.65
23394008,25,5.51,-2.19,12.66
23455056,25,5.51,-2.19,12.75
23516084,25,5.51,-2.19,12.71
23577128,25,5.51,-2.19,12.81
23638160,25,5.51,-2.19,12.83
23699184,25,5.51,-2.19,12.89
23760228,25,6.04,-2.19,12.86
23821256,25,6.04,-2.19,12.80
23882300,25,6.04,-2.19,12.81
23943328,25,6.04,-2.19,12.88
24004352,25,6.04,-2.19,12.96
24065392,25,6.04,-2.19,12.97
24126436,25,6.04,-2.19,13.03
24187480,25,6.04,-2.19,12.95
24248536,25,6.04,-2.19,13.14
24309576,25,6.04,-2.19,12.92
24370640,25,6.04,-2.19,13.16
24431680,25,6.04,-2.19,13.15
24492716,25,6.04,-2.19,13.21
24553752,25,6.04,-2.19,13.20
24614788,25,6.04,-2.19,13.26
24675824,25,6.04,-2.19,13.26
24736860,25,6.04,-2.19,13.28
24797888,25,6.04,-2.19,13.18
24858936,25,6.04,-2.19,13.38
24919968,25,6.04,-2.19,13.36
24981012,25,6.04,-2.19,13.34
25042056,25,6.04,-2.19,13.26
25103088,25,6.04,-2.19,13.32
25164128,25,6.04,-2.19,13.22
25225168,25,6.04,-2.19,13.40
25286232,25,6.04,-2.19,13.43
25347268,25,6.04,-2.19,13.48
25408316,25,6.04,-2.19,13.45
25469364,25,6.04,-2.19,13.52
25530412,25,6.04,-2.19,13.51
25591456,25,6.04,-2.19,13.65
25652520,25,6.04,-2.19,13.60
25713564,25,6.04,-2.19,13.66
25774624,25,6.04,-2.19,13.59
25835668,25,6.57,-2.19,13.73
25896712,25,6.57,-2.19,13.78
25957752,25,6.57,-2.19,13.72
26018776,25,6.57,-2.19,13.65
26079816,25,6.57,-2.19,13.66
26140852,25,6.57,-2.19,13.96
26201880,25,6.57,-2.19,14.03
26262912,25,6.57,-2.19,13.88
26323944,25,6.57,-2.19,13.94
26384988,25,6.57,-2.19,13.91
26446016,25,6.57,-2.19,13.91
26507044,25,6.57,-2.19,13.79
26568092,25,6.57,-2.19,14.00
26629124,25,6.57,-2.19,14.00
26690152,25,6.57,-2.19,14.03
26751192,25,6.57,-2.19,14.10
26812236,25,6.57,-2.19,14.01
26873272,25,6.57,-2.19,14.08
26934320,25,6.57,-2.19,14.14
26995344,25,6.57,-2.19,14.00
27056404,25,6.57,-2.19,14.09
27117424,25,6.57,-2.19,14.09
27178472,25,6.57,-2.19,14.30
27239508,25,6.57,-2.19,14.23
27300540,25,6.57,-2.19,14.35
27361588,25,6.57,-2.19,14.29
27422632,25,6.57,-2.19,14.53
27483676,25,6.57,-2.19,14.21
27544716,25,6.57,-2.19,14.17
27605748,25,6.57,-2.19,14.51
27666792,25,6.57,-2.19,14.45
